类别：所有类别

周,ATV: (美国)
2020-06-21,98
2020-06-28,100
2020-07-05,92
2020-07-12,90
2020-07-19,97
2020-07-26,94
2020-08-02,90
2020-08-09,92
2020-08-16,83
2020-08-23,79
2020-08-30,83
2020-09-06,86
2020-09-13,76
2020-09-20,77
2020-09-27,77
2020-10-04,82
2020-10-11,78
2020-10-18,77
2020-10-25,70
2020-11-01,54
2020-11-08,69
2020-11-15,68
2020-11-22,79
2020-11-29,74
2020-12-06,67
2020-12-13,75
2020-12-20,72
2020-12-27,76
2021-01-03,70
2021-01-10,67
2021-01-17,66
2021-01-24,66
2021-01-31,71
2021-02-07,68
2021-02-14,74
2021-02-21,77
2021-02-28,83
2021-03-07,91
2021-03-14,98
2021-03-21,95
2021-03-28,98
2021-04-04,97
2021-04-11,94
2021-04-18,87
2021-04-25,91
2021-05-02,83
2021-05-09,79
2021-05-16,85
2021-05-23,85
2021-05-30,92
2021-06-06,76
2021-06-13,83
