类别：所有类别

周,Apparel: (美国)
2020-06-21,71
2020-06-28,76
2020-07-05,77
2020-07-12,80
2020-07-19,78
2020-07-26,75
2020-08-02,72
2020-08-09,73
2020-08-16,70
2020-08-23,67
2020-08-30,69
2020-09-06,69
2020-09-13,75
2020-09-20,76
2020-09-27,78
2020-10-04,78
2020-10-11,72
2020-10-18,74
2020-10-25,74
2020-11-01,61
2020-11-08,75
2020-11-15,82
2020-11-22,100
2020-11-29,98
2020-12-06,100
2020-12-13,95
2020-12-20,71
2020-12-27,68
2021-01-03,62
2021-01-10,68
2021-01-17,67
2021-01-24,70
2021-01-31,74
2021-02-07,70
2021-02-14,65
2021-02-21,64
2021-02-28,66
2021-03-07,66
2021-03-14,66
2021-03-21,71
2021-03-28,77
2021-04-04,77
2021-04-11,70
2021-04-18,68
2021-04-25,73
2021-05-02,72
2021-05-09,67
2021-05-16,67
2021-05-23,69
2021-05-30,71
2021-06-06,72
2021-06-13,60
