类别：所有类别

周,Axles: (美国)
2020-06-21,76
2020-06-28,68
2020-07-05,70
2020-07-12,77
2020-07-19,71
2020-07-26,72
2020-08-02,72
2020-08-09,66
2020-08-16,79
2020-08-23,71
2020-08-30,77
2020-09-06,64
2020-09-13,68
2020-09-20,62
2020-09-27,65
2020-10-04,78
2020-10-11,69
2020-10-18,79
2020-10-25,75
2020-11-01,52
2020-11-08,59
2020-11-15,63
2020-11-22,82
2020-11-29,68
2020-12-06,65
2020-12-13,75
2020-12-20,67
2020-12-27,66
2021-01-03,78
2021-01-10,66
2021-01-17,75
2021-01-24,75
2021-01-31,73
2021-02-07,86
2021-02-14,63
2021-02-21,86
2021-02-28,80
2021-03-07,93
2021-03-14,98
2021-03-21,100
2021-03-28,77
2021-04-04,89
2021-04-11,98
2021-04-18,76
2021-04-25,84
2021-05-02,67
2021-05-09,78
2021-05-16,73
2021-05-23,77
2021-05-30,75
2021-06-06,79
2021-06-13,58
