类别：所有类别

周,Batteries: (美国)
2020-06-21,86
2020-06-28,87
2020-07-05,85
2020-07-12,83
2020-07-19,83
2020-07-26,80
2020-08-02,87
2020-08-09,85
2020-08-16,85
2020-08-23,76
2020-08-30,80
2020-09-06,78
2020-09-13,78
2020-09-20,81
2020-09-27,76
2020-10-04,80
2020-10-11,84
2020-10-18,87
2020-10-25,85
2020-11-01,70
2020-11-08,86
2020-11-15,81
2020-11-22,86
2020-11-29,96
2020-12-06,95
2020-12-13,92
2020-12-20,100
2020-12-27,95
2021-01-03,81
2021-01-10,80
2021-01-17,84
2021-01-24,84
2021-01-31,82
2021-02-07,84
2021-02-14,90
2021-02-21,85
2021-02-28,85
2021-03-07,82
2021-03-14,81
2021-03-21,84
2021-03-28,82
2021-04-04,84
2021-04-11,84
2021-04-18,81
2021-04-25,84
2021-05-02,83
2021-05-09,82
2021-05-16,78
2021-05-23,83
2021-05-30,83
2021-06-06,80
2021-06-13,78
