类别：所有类别

周,Bumper: (美国)
2020-06-21,99
2020-06-28,98
2020-07-05,94
2020-07-12,91
2020-07-19,98
2020-07-26,97
2020-08-02,91
2020-08-09,97
2020-08-16,93
2020-08-23,87
2020-08-30,82
2020-09-06,85
2020-09-13,91
2020-09-20,80
2020-09-27,81
2020-10-04,84
2020-10-11,86
2020-10-18,87
2020-10-25,81
2020-11-01,68
2020-11-08,80
2020-11-15,91
2020-11-22,86
2020-11-29,81
2020-12-06,82
2020-12-13,81
2020-12-20,85
2020-12-27,90
2021-01-03,85
2021-01-10,84
2021-01-17,91
2021-01-24,84
2021-01-31,82
2021-02-07,84
2021-02-14,83
2021-02-21,94
2021-02-28,89
2021-03-07,96
2021-03-14,100
2021-03-21,98
2021-03-28,99
2021-04-04,96
2021-04-11,94
2021-04-18,96
2021-04-25,91
2021-05-02,88
2021-05-09,84
2021-05-16,87
2021-05-23,86
2021-05-30,84
2021-06-06,86
2021-06-13,88
