类别：所有类别

周,Cables: (美国)
2020-06-21,84
2020-06-28,91
2020-07-05,88
2020-07-12,78
2020-07-19,92
2020-07-26,91
2020-08-02,86
2020-08-09,90
2020-08-16,86
2020-08-23,81
2020-08-30,92
2020-09-06,87
2020-09-13,90
2020-09-20,89
2020-09-27,83
2020-10-04,85
2020-10-11,92
2020-10-18,85
2020-10-25,81
2020-11-01,66
2020-11-08,87
2020-11-15,88
2020-11-22,84
2020-11-29,99
2020-12-06,87
2020-12-13,85
2020-12-20,76
2020-12-27,100
2021-01-03,85
2021-01-10,84
2021-01-17,85
2021-01-24,83
2021-01-31,87
2021-02-07,83
2021-02-14,85
2021-02-21,87
2021-02-28,80
2021-03-07,79
2021-03-14,77
2021-03-21,84
2021-03-28,80
2021-04-04,77
2021-04-11,82
2021-04-18,82
2021-04-25,81
2021-05-02,76
2021-05-09,84
2021-05-16,84
2021-05-23,81
2021-05-30,83
2021-06-06,75
2021-06-13,82
