类别：所有类别

周,Cap Covers: (美国)
2020-06-21,44
2020-06-28,54
2020-07-05,61
2020-07-12,54
2020-07-19,80
2020-07-26,46
2020-08-02,54
2020-08-09,79
2020-08-16,45
2020-08-23,20
2020-08-30,27
2020-09-06,36
2020-09-13,39
2020-09-20,40
2020-09-27,46
2020-10-04,65
2020-10-11,37
2020-10-18,51
2020-10-25,28
2020-11-01,23
2020-11-08,36
2020-11-15,59
2020-11-22,37
2020-11-29,27
2020-12-06,45
2020-12-13,41
2020-12-20,29
2020-12-27,42
2021-01-03,52
2021-01-10,67
2021-01-17,53
2021-01-24,40
2021-01-31,40
2021-02-07,40
2021-02-14,18
2021-02-21,55
2021-02-28,64
2021-03-07,23
2021-03-14,46
2021-03-21,36
2021-03-28,37
2021-04-04,32
2021-04-11,41
2021-04-18,100
2021-04-25,46
2021-05-02,77
2021-05-09,51
2021-05-16,42
2021-05-23,28
2021-05-30,47
2021-06-06,42
2021-06-13,53
