类别：所有类别

周,Car: (美国)
2020-06-21,88
2020-06-28,90
2020-07-05,87
2020-07-12,86
2020-07-19,85
2020-07-26,84
2020-08-02,87
2020-08-09,83
2020-08-16,81
2020-08-23,79
2020-08-30,80
2020-09-06,76
2020-09-13,75
2020-09-20,78
2020-09-27,76
2020-10-04,78
2020-10-11,80
2020-10-18,79
2020-10-25,74
2020-11-01,62
2020-11-08,73
2020-11-15,73
2020-11-22,73
2020-11-29,75
2020-12-06,74
2020-12-13,73
2020-12-20,73
2020-12-27,75
2021-01-03,75
2021-01-10,75
2021-01-17,76
2021-01-24,75
2021-01-31,75
2021-02-07,83
2021-02-14,81
2021-02-21,92
2021-02-28,89
2021-03-07,91
2021-03-14,92
2021-03-21,94
2021-03-28,94
2021-04-04,93
2021-04-11,90
2021-04-18,90
2021-04-25,92
2021-05-02,94
2021-05-09,94
2021-05-16,96
2021-05-23,95
2021-05-30,95
2021-06-06,96
2021-06-13,100
