类别：所有类别

周,Cargo Baskets: (美国)
2020-06-21,0
2020-06-28,85
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,42
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,39
2020-09-20,0
2020-09-27,42
2020-10-04,44
2020-10-11,95
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,100
2020-12-27,0
2021-01-03,0
2021-01-10,45
2021-01-17,91
2021-01-24,0
2021-01-31,45
2021-02-07,91
2021-02-14,0
2021-02-21,46
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,46
2021-04-18,46
2021-04-25,0
2021-05-02,0
2021-05-09,47
2021-05-16,94
2021-05-23,47
2021-05-30,0
2021-06-06,48
2021-06-13,0
