类别：所有类别

周,Cargo Carriers: (美国)
2020-06-21,61
2020-06-28,91
2020-07-05,44
2020-07-12,36
2020-07-19,100
2020-07-26,73
2020-08-02,81
2020-08-09,36
2020-08-16,62
2020-08-23,43
2020-08-30,34
2020-09-06,26
2020-09-13,67
2020-09-20,43
2020-09-27,0
2020-10-04,28
2020-10-11,40
2020-10-18,71
2020-10-25,30
2020-11-01,17
2020-11-08,87
2020-11-15,49
2020-11-22,41
2020-11-29,68
2020-12-06,0
2020-12-13,20
2020-12-20,11
2020-12-27,40
2021-01-03,19
2021-01-10,58
2021-01-17,29
2021-01-24,19
2021-01-31,10
2021-02-07,29
2021-02-14,10
2021-02-21,39
2021-02-28,49
2021-03-07,69
2021-03-14,36
2021-03-21,40
2021-03-28,50
2021-04-04,49
2021-04-11,39
2021-04-18,59
2021-04-25,0
2021-05-02,49
2021-05-09,50
2021-05-16,60
2021-05-23,50
2021-05-30,72
2021-06-06,61
2021-06-13,70
