类别：所有类别

周,Cargo Liners: (美国)
2020-06-21,32
2020-06-28,33
2020-07-05,49
2020-07-12,33
2020-07-19,100
2020-07-26,0
2020-08-02,0
2020-08-09,33
2020-08-16,81
2020-08-23,47
2020-08-30,15
2020-09-06,0
2020-09-13,61
2020-09-20,16
2020-09-27,33
2020-10-04,17
2020-10-11,19
2020-10-18,37
2020-10-25,56
2020-11-01,46
2020-11-08,0
2020-11-15,54
2020-11-22,56
2020-11-29,54
2020-12-06,36
2020-12-13,18
2020-12-20,19
2020-12-27,93
2021-01-03,35
2021-01-10,71
2021-01-17,18
2021-01-24,0
2021-01-31,18
2021-02-07,18
2021-02-14,18
2021-02-21,0
2021-02-28,36
2021-03-07,90
2021-03-14,17
2021-03-21,54
2021-03-28,37
2021-04-04,36
2021-04-11,0
2021-04-18,36
2021-04-25,18
2021-05-02,54
2021-05-09,18
2021-05-16,37
2021-05-23,0
2021-05-30,37
2021-06-06,37
2021-06-13,42
