类别：所有类别

周,Chamois: (美国)
2020-06-21,82
2020-06-28,78
2020-07-05,70
2020-07-12,62
2020-07-19,74
2020-07-26,81
2020-08-02,64
2020-08-09,80
2020-08-16,67
2020-08-23,76
2020-08-30,58
2020-09-06,76
2020-09-13,44
2020-09-20,74
2020-09-27,73
2020-10-04,47
2020-10-11,82
2020-10-18,62
2020-10-25,69
2020-11-01,60
2020-11-08,85
2020-11-15,50
2020-11-22,72
2020-11-29,69
2020-12-06,59
2020-12-13,73
2020-12-20,40
2020-12-27,74
2021-01-03,60
2021-01-10,54
2021-01-17,64
2021-01-24,100
2021-01-31,61
2021-02-07,64
2021-02-14,75
2021-02-21,70
2021-02-28,37
2021-03-07,42
2021-03-14,65
2021-03-21,67
2021-03-28,84
2021-04-04,45
2021-04-11,85
2021-04-18,47
2021-04-25,71
2021-05-02,65
2021-05-09,54
2021-05-16,56
2021-05-23,59
2021-05-30,44
2021-06-06,67
2021-06-13,64
