类别：所有类别

周,Clips: (美国)
2020-06-21,100
2020-06-28,91
2020-07-05,82
2020-07-12,80
2020-07-19,83
2020-07-26,83
2020-08-02,85
2020-08-09,85
2020-08-16,84
2020-08-23,84
2020-08-30,81
2020-09-06,85
2020-09-13,80
2020-09-20,80
2020-09-27,78
2020-10-04,77
2020-10-11,81
2020-10-18,78
2020-10-25,74
2020-11-01,62
2020-11-08,87
2020-11-15,83
2020-11-22,82
2020-11-29,82
2020-12-06,81
2020-12-13,77
2020-12-20,83
2020-12-27,79
2021-01-03,78
2021-01-10,77
2021-01-17,85
2021-01-24,79
2021-01-31,80
2021-02-07,72
2021-02-14,71
2021-02-21,87
2021-02-28,91
2021-03-07,89
2021-03-14,83
2021-03-21,90
2021-03-28,93
2021-04-04,84
2021-04-11,86
2021-04-18,88
2021-04-25,91
2021-05-02,89
2021-05-09,91
2021-05-16,95
2021-05-23,98
2021-05-30,92
2021-06-06,96
2021-06-13,94
