类别：所有类别

周,Clock: (美国)
2020-06-21,67
2020-06-28,70
2020-07-05,64
2020-07-12,67
2020-07-19,70
2020-07-26,71
2020-08-02,66
2020-08-09,68
2020-08-16,72
2020-08-23,72
2020-08-30,73
2020-09-06,76
2020-09-13,79
2020-09-20,94
2020-09-27,76
2020-10-04,79
2020-10-11,76
2020-10-18,75
2020-10-25,82
2020-11-01,92
2020-11-08,76
2020-11-15,76
2020-11-22,77
2020-11-29,80
2020-12-06,78
2020-12-13,75
2020-12-20,74
2020-12-27,92
2021-01-03,74
2021-01-10,75
2021-01-17,74
2021-01-24,77
2021-01-31,72
2021-02-07,72
2021-02-14,67
2021-02-21,74
2021-02-28,75
2021-03-07,76
2021-03-14,100
2021-03-21,75
2021-03-28,74
2021-04-04,71
2021-04-11,71
2021-04-18,70
2021-04-25,72
2021-05-02,68
2021-05-09,71
2021-05-16,65
2021-05-23,65
2021-05-30,64
2021-06-06,67
2021-06-13,66
