类别：所有类别

周,Combo Bars: (美国)
2020-06-21,30
2020-06-28,61
2020-07-05,60
2020-07-12,61
2020-07-19,92
2020-07-26,0
2020-08-02,61
2020-08-09,0
2020-08-16,30
2020-08-23,87
2020-08-30,0
2020-09-06,29
2020-09-13,0
2020-09-20,87
2020-09-27,30
2020-10-04,63
2020-10-11,68
2020-10-18,0
2020-10-25,34
2020-11-01,0
2020-11-08,33
2020-11-15,0
2020-11-22,0
2020-11-29,66
2020-12-06,33
2020-12-13,34
2020-12-20,36
2020-12-27,68
2021-01-03,0
2021-01-10,0
2021-01-17,33
2021-01-24,65
2021-01-31,65
2021-02-07,33
2021-02-14,67
2021-02-21,33
2021-02-28,33
2021-03-07,100
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,33
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,100
2021-05-09,0
2021-05-16,34
2021-05-23,68
2021-05-30,0
2021-06-06,0
2021-06-13,78
