类别：所有类别

周,Commercial Truck: (美国)
2020-06-21,70
2020-06-28,66
2020-07-05,73
2020-07-12,69
2020-07-19,70
2020-07-26,79
2020-08-02,70
2020-08-09,66
2020-08-16,70
2020-08-23,77
2020-08-30,68
2020-09-06,56
2020-09-13,70
2020-09-20,66
2020-09-27,68
2020-10-04,69
2020-10-11,71
2020-10-18,86
2020-10-25,71
2020-11-01,64
2020-11-08,51
2020-11-15,68
2020-11-22,81
2020-11-29,67
2020-12-06,83
2020-12-13,77
2020-12-20,65
2020-12-27,54
2021-01-03,65
2021-01-10,69
2021-01-17,78
2021-01-24,73
2021-01-31,92
2021-02-07,87
2021-02-14,87
2021-02-21,92
2021-02-28,87
2021-03-07,77
2021-03-14,87
2021-03-21,79
2021-03-28,87
2021-04-04,78
2021-04-11,75
2021-04-18,73
2021-04-25,100
2021-05-02,74
2021-05-09,87
2021-05-16,81
2021-05-23,86
2021-05-30,89
2021-06-06,86
2021-06-13,92
