类别：所有类别

周,Covers: (美国)
2020-06-21,99
2020-06-28,99
2020-07-05,94
2020-07-12,100
2020-07-19,95
2020-07-26,96
2020-08-02,97
2020-08-09,96
2020-08-16,94
2020-08-23,90
2020-08-30,90
2020-09-06,95
2020-09-13,87
2020-09-20,97
2020-09-27,90
2020-10-04,91
2020-10-11,91
2020-10-18,92
2020-10-25,90
2020-11-01,75
2020-11-08,92
2020-11-15,93
2020-11-22,92
2020-11-29,100
2020-12-06,92
2020-12-13,87
2020-12-20,80
2020-12-27,90
2021-01-03,84
2021-01-10,88
2021-01-17,87
2021-01-24,84
2021-01-31,86
2021-02-07,84
2021-02-14,83
2021-02-21,85
2021-02-28,90
2021-03-07,93
2021-03-14,92
2021-03-21,93
2021-03-28,98
2021-04-04,90
2021-04-11,92
2021-04-18,91
2021-04-25,94
2021-05-02,89
2021-05-09,89
2021-05-16,90
2021-05-23,94
2021-05-30,92
2021-06-06,87
2021-06-13,86
