类别：所有类别

周,Cup Holders: (美国)
2020-06-21,85
2020-06-28,90
2020-07-05,76
2020-07-12,65
2020-07-19,94
2020-07-26,71
2020-08-02,81
2020-08-09,68
2020-08-16,85
2020-08-23,48
2020-08-30,69
2020-09-06,74
2020-09-13,40
2020-09-20,55
2020-09-27,48
2020-10-04,48
2020-10-11,50
2020-10-18,40
2020-10-25,62
2020-11-01,15
2020-11-08,69
2020-11-15,64
2020-11-22,65
2020-11-29,95
2020-12-06,81
2020-12-13,49
2020-12-20,74
2020-12-27,46
2021-01-03,58
2021-01-10,44
2021-01-17,54
2021-01-24,57
2021-01-31,55
2021-02-07,60
2021-02-14,51
2021-02-21,43
2021-02-28,45
2021-03-07,55
2021-03-14,65
2021-03-21,77
2021-03-28,42
2021-04-04,59
2021-04-11,63
2021-04-18,65
2021-04-25,64
2021-05-02,100
2021-05-09,76
2021-05-16,80
2021-05-23,54
2021-05-30,77
2021-06-06,64
2021-06-13,78
