类别：所有类别

周,Dimmer: (美国)
2020-06-21,62
2020-06-28,69
2020-07-05,66
2020-07-12,70
2020-07-19,68
2020-07-26,67
2020-08-02,63
2020-08-09,80
2020-08-16,67
2020-08-23,69
2020-08-30,81
2020-09-06,66
2020-09-13,63
2020-09-20,73
2020-09-27,71
2020-10-04,69
2020-10-11,82
2020-10-18,85
2020-10-25,88
2020-11-01,68
2020-11-08,77
2020-11-15,84
2020-11-22,76
2020-11-29,100
2020-12-06,80
2020-12-13,78
2020-12-20,86
2020-12-27,83
2021-01-03,89
2021-01-10,87
2021-01-17,80
2021-01-24,72
2021-01-31,67
2021-02-07,79
2021-02-14,68
2021-02-21,70
2021-02-28,84
2021-03-07,77
2021-03-14,67
2021-03-21,74
2021-03-28,75
2021-04-04,61
2021-04-11,73
2021-04-18,71
2021-04-25,68
2021-05-02,63
2021-05-09,50
2021-05-16,67
2021-05-23,62
2021-05-30,51
2021-06-06,52
2021-06-13,72
