类别：所有类别

周,Distributors: (美国)
2020-06-21,90
2020-06-28,94
2020-07-05,99
2020-07-12,98
2020-07-19,100
2020-07-26,95
2020-08-02,92
2020-08-09,87
2020-08-16,95
2020-08-23,76
2020-08-30,88
2020-09-06,79
2020-09-13,89
2020-09-20,88
2020-09-27,81
2020-10-04,85
2020-10-11,87
2020-10-18,86
2020-10-25,88
2020-11-01,68
2020-11-08,79
2020-11-15,94
2020-11-22,73
2020-11-29,85
2020-12-06,80
2020-12-13,80
2020-12-20,62
2020-12-27,62
2021-01-03,85
2021-01-10,80
2021-01-17,83
2021-01-24,75
2021-01-31,85
2021-02-07,78
2021-02-14,82
2021-02-21,96
2021-02-28,84
2021-03-07,85
2021-03-14,84
2021-03-21,76
2021-03-28,81
2021-04-04,85
2021-04-11,91
2021-04-18,82
2021-04-25,83
2021-05-02,83
2021-05-09,90
2021-05-16,83
2021-05-23,96
2021-05-30,78
2021-06-06,100
2021-06-13,83
