类别：所有类别

周,Door: (美国)
2020-06-21,93
2020-06-28,93
2020-07-05,93
2020-07-12,97
2020-07-19,98
2020-07-26,96
2020-08-02,95
2020-08-09,97
2020-08-16,93
2020-08-23,90
2020-08-30,87
2020-09-06,88
2020-09-13,88
2020-09-20,89
2020-09-27,88
2020-10-04,97
2020-10-11,93
2020-10-18,92
2020-10-25,92
2020-11-01,71
2020-11-08,88
2020-11-15,90
2020-11-22,89
2020-11-29,91
2020-12-06,86
2020-12-13,83
2020-12-20,79
2020-12-27,90
2021-01-03,84
2021-01-10,88
2021-01-17,90
2021-01-24,88
2021-01-31,89
2021-02-07,86
2021-02-14,86
2021-02-21,89
2021-02-28,90
2021-03-07,94
2021-03-14,94
2021-03-21,95
2021-03-28,100
2021-04-04,93
2021-04-11,97
2021-04-18,94
2021-04-25,95
2021-05-02,92
2021-05-09,92
2021-05-16,96
2021-05-23,92
2021-05-30,95
2021-06-06,93
2021-06-13,97
