类别：所有类别

周,Doors: (美国)
2020-06-21,95
2020-06-28,95
2020-07-05,95
2020-07-12,97
2020-07-19,94
2020-07-26,95
2020-08-02,98
2020-08-09,95
2020-08-16,92
2020-08-23,88
2020-08-30,89
2020-09-06,91
2020-09-13,88
2020-09-20,88
2020-09-27,85
2020-10-04,93
2020-10-11,94
2020-10-18,89
2020-10-25,91
2020-11-01,69
2020-11-08,86
2020-11-15,87
2020-11-22,79
2020-11-29,82
2020-12-06,80
2020-12-13,77
2020-12-20,71
2020-12-27,86
2021-01-03,87
2021-01-10,91
2021-01-17,92
2021-01-24,92
2021-01-31,90
2021-02-07,88
2021-02-14,88
2021-02-21,89
2021-02-28,93
2021-03-07,95
2021-03-14,93
2021-03-21,100
2021-03-28,94
2021-04-04,91
2021-04-11,92
2021-04-18,89
2021-04-25,93
2021-05-02,93
2021-05-09,90
2021-05-16,88
2021-05-23,84
2021-05-30,90
2021-06-06,87
2021-06-13,90
