类别：所有类别

周,Engine: (美国)
2020-06-21,89
2020-06-28,95
2020-07-05,88
2020-07-12,92
2020-07-19,92
2020-07-26,92
2020-08-02,90
2020-08-09,88
2020-08-16,88
2020-08-23,87
2020-08-30,85
2020-09-06,85
2020-09-13,84
2020-09-20,85
2020-09-27,82
2020-10-04,86
2020-10-11,86
2020-10-18,87
2020-10-25,82
2020-11-01,65
2020-11-08,78
2020-11-15,82
2020-11-22,75
2020-11-29,79
2020-12-06,81
2020-12-13,78
2020-12-20,75
2020-12-27,79
2021-01-03,77
2021-01-10,79
2021-01-17,81
2021-01-24,82
2021-01-31,81
2021-02-07,83
2021-02-14,82
2021-02-21,100
2021-02-28,87
2021-03-07,89
2021-03-14,89
2021-03-21,89
2021-03-28,95
2021-04-04,92
2021-04-11,93
2021-04-18,91
2021-04-25,91
2021-05-02,89
2021-05-09,91
2021-05-16,95
2021-05-23,90
2021-05-30,92
2021-06-06,91
2021-06-13,92
