类别：所有类别

周,Fenders: (美国)
2020-06-21,84
2020-06-28,75
2020-07-05,71
2020-07-12,75
2020-07-19,74
2020-07-26,76
2020-08-02,75
2020-08-09,77
2020-08-16,72
2020-08-23,68
2020-08-30,76
2020-09-06,63
2020-09-13,65
2020-09-20,65
2020-09-27,67
2020-10-04,77
2020-10-11,84
2020-10-18,71
2020-10-25,63
2020-11-01,51
2020-11-08,59
2020-11-15,64
2020-11-22,79
2020-11-29,52
2020-12-06,68
2020-12-13,70
2020-12-20,55
2020-12-27,75
2021-01-03,63
2021-01-10,66
2021-01-17,72
2021-01-24,64
2021-01-31,68
2021-02-07,60
2021-02-14,59
2021-02-21,83
2021-02-28,82
2021-03-07,89
2021-03-14,75
2021-03-21,92
2021-03-28,100
2021-04-04,81
2021-04-11,74
2021-04-18,64
2021-04-25,82
2021-05-02,82
2021-05-09,77
2021-05-16,90
2021-05-23,70
2021-05-30,71
2021-06-06,64
2021-06-13,81
