类别：所有类别

周,Frames: (美国)
2020-06-21,90
2020-06-28,92
2020-07-05,94
2020-07-12,95
2020-07-19,97
2020-07-26,95
2020-08-02,100
2020-08-09,99
2020-08-16,96
2020-08-23,90
2020-08-30,83
2020-09-06,88
2020-09-13,84
2020-09-20,86
2020-09-27,82
2020-10-04,84
2020-10-11,88
2020-10-18,80
2020-10-25,79
2020-11-01,63
2020-11-08,88
2020-11-15,90
2020-11-22,94
2020-11-29,99
2020-12-06,100
2020-12-13,92
2020-12-20,87
2020-12-27,91
2021-01-03,90
2021-01-10,89
2021-01-17,91
2021-01-24,90
2021-01-31,89
2021-02-07,86
2021-02-14,82
2021-02-21,88
2021-02-28,83
2021-03-07,84
2021-03-14,85
2021-03-21,81
2021-03-28,84
2021-04-04,83
2021-04-11,86
2021-04-18,82
2021-04-25,83
2021-05-02,83
2021-05-09,80
2021-05-16,80
2021-05-23,78
2021-05-30,79
2021-06-06,78
2021-06-13,74
