类别：所有类别

周,Fuel Pressure: (美国)
2020-06-21,98
2020-06-28,96
2020-07-05,85
2020-07-12,99
2020-07-19,96
2020-07-26,94
2020-08-02,94
2020-08-09,91
2020-08-16,87
2020-08-23,91
2020-08-30,88
2020-09-06,78
2020-09-13,92
2020-09-20,85
2020-09-27,77
2020-10-04,91
2020-10-11,78
2020-10-18,90
2020-10-25,92
2020-11-01,76
2020-11-08,89
2020-11-15,94
2020-11-22,87
2020-11-29,78
2020-12-06,86
2020-12-13,74
2020-12-20,66
2020-12-27,73
2021-01-03,88
2021-01-10,100
2021-01-17,71
2021-01-24,89
2021-01-31,87
2021-02-07,89
2021-02-14,78
2021-02-21,86
2021-02-28,92
2021-03-07,99
2021-03-14,89
2021-03-21,96
2021-03-28,87
2021-04-04,95
2021-04-11,79
2021-04-18,100
2021-04-25,100
2021-05-02,97
2021-05-09,91
2021-05-16,84
2021-05-23,93
2021-05-30,80
2021-06-06,89
2021-06-13,96
