类别：所有类别

周,Fuel: (美国)
2020-06-21,75
2020-06-28,72
2020-07-05,70
2020-07-12,74
2020-07-19,73
2020-07-26,71
2020-08-02,76
2020-08-09,75
2020-08-16,71
2020-08-23,68
2020-08-30,66
2020-09-06,69
2020-09-13,67
2020-09-20,69
2020-09-27,67
2020-10-04,69
2020-10-11,68
2020-10-18,68
2020-10-25,69
2020-11-01,58
2020-11-08,66
2020-11-15,67
2020-11-22,65
2020-11-29,66
2020-12-06,67
2020-12-13,66
2020-12-20,60
2020-12-27,64
2021-01-03,66
2021-01-10,70
2021-01-17,69
2021-01-24,71
2021-01-31,70
2021-02-07,70
2021-02-14,75
2021-02-21,75
2021-02-28,76
2021-03-07,80
2021-03-14,78
2021-03-21,77
2021-03-28,77
2021-04-04,80
2021-04-11,78
2021-04-18,76
2021-04-25,79
2021-05-02,75
2021-05-09,100
2021-05-16,78
2021-05-23,77
2021-05-30,75
2021-06-06,79
2021-06-13,76
