类别：所有类别

周,Garbage Cans: (美国)
2020-06-21,78
2020-06-28,89
2020-07-05,90
2020-07-12,91
2020-07-19,100
2020-07-26,67
2020-08-02,85
2020-08-09,95
2020-08-16,89
2020-08-23,77
2020-08-30,75
2020-09-06,98
2020-09-13,77
2020-09-20,73
2020-09-27,68
2020-10-04,60
2020-10-11,62
2020-10-18,53
2020-10-25,53
2020-11-01,50
2020-11-08,66
2020-11-15,65
2020-11-22,81
2020-11-29,67
2020-12-06,58
2020-12-13,48
2020-12-20,68
2020-12-27,55
2021-01-03,56
2021-01-10,66
2021-01-17,53
2021-01-24,46
2021-01-31,64
2021-02-07,62
2021-02-14,70
2021-02-21,61
2021-02-28,32
2021-03-07,68
2021-03-14,58
2021-03-21,84
2021-03-28,48
2021-04-04,65
2021-04-11,58
2021-04-18,61
2021-04-25,85
2021-05-02,77
2021-05-09,88
2021-05-16,83
2021-05-23,81
2021-05-30,77
2021-06-06,81
2021-06-13,79
