类别：所有类别

周,Gauge Sets: (美国)
2020-06-21,11
2020-06-28,34
2020-07-05,22
2020-07-12,11
2020-07-19,34
2020-07-26,11
2020-08-02,22
2020-08-09,0
2020-08-16,22
2020-08-23,21
2020-08-30,31
2020-09-06,53
2020-09-13,21
2020-09-20,64
2020-09-27,0
2020-10-04,23
2020-10-11,25
2020-10-18,25
2020-10-25,12
2020-11-01,42
2020-11-08,24
2020-11-15,97
2020-11-22,63
2020-11-29,72
2020-12-06,96
2020-12-13,37
2020-12-20,66
2020-12-27,100
2021-01-03,47
2021-01-10,0
2021-01-17,48
2021-01-24,12
2021-01-31,24
2021-02-07,60
2021-02-14,49
2021-02-21,0
2021-02-28,61
2021-03-07,61
2021-03-14,45
2021-03-21,12
2021-03-28,0
2021-04-04,36
2021-04-11,36
2021-04-18,0
2021-04-25,0
2021-05-02,12
2021-05-09,12
2021-05-16,50
2021-05-23,0
2021-05-30,25
2021-06-06,38
2021-06-13,29
