类别：所有类别

周,Gears: (美国)
2020-06-21,92
2020-06-28,94
2020-07-05,93
2020-07-12,100
2020-07-19,98
2020-07-26,97
2020-08-02,97
2020-08-09,96
2020-08-16,82
2020-08-23,94
2020-08-30,81
2020-09-06,78
2020-09-13,79
2020-09-20,86
2020-09-27,82
2020-10-04,82
2020-10-11,79
2020-10-18,82
2020-10-25,85
2020-11-01,70
2020-11-08,96
2020-11-15,90
2020-11-22,95
2020-11-29,100
2020-12-06,89
2020-12-13,92
2020-12-20,96
2020-12-27,96
2021-01-03,83
2021-01-10,78
2021-01-17,82
2021-01-24,77
2021-01-31,79
2021-02-07,84
2021-02-14,80
2021-02-21,82
2021-02-28,82
2021-03-07,79
2021-03-14,82
2021-03-21,85
2021-03-28,85
2021-04-04,84
2021-04-11,82
2021-04-18,79
2021-04-25,88
2021-05-02,79
2021-05-09,73
2021-05-16,81
2021-05-23,74
2021-05-30,83
2021-06-06,73
2021-06-13,77
