类别：所有类别

周,Grips: (美国)
2020-06-21,96
2020-06-28,100
2020-07-05,95
2020-07-12,92
2020-07-19,93
2020-07-26,91
2020-08-02,93
2020-08-09,100
2020-08-16,80
2020-08-23,81
2020-08-30,77
2020-09-06,75
2020-09-13,78
2020-09-20,76
2020-09-27,71
2020-10-04,78
2020-10-11,80
2020-10-18,87
2020-10-25,72
2020-11-01,61
2020-11-08,75
2020-11-15,78
2020-11-22,79
2020-11-29,81
2020-12-06,80
2020-12-13,74
2020-12-20,90
2020-12-27,88
2021-01-03,78
2021-01-10,85
2021-01-17,81
2021-01-24,77
2021-01-31,81
2021-02-07,82
2021-02-14,82
2021-02-21,79
2021-02-28,81
2021-03-07,81
2021-03-14,84
2021-03-21,82
2021-03-28,92
2021-04-04,82
2021-04-11,82
2021-04-18,80
2021-04-25,77
2021-05-02,79
2021-05-09,73
2021-05-16,77
2021-05-23,74
2021-05-30,78
2021-06-06,78
2021-06-13,75
