类别：所有类别

周,Gun Holders: (美国)
2020-06-21,72
2020-06-28,45
2020-07-05,29
2020-07-12,45
2020-07-19,15
2020-07-26,60
2020-08-02,45
2020-08-09,15
2020-08-16,29
2020-08-23,28
2020-08-30,28
2020-09-06,14
2020-09-13,55
2020-09-20,43
2020-09-27,45
2020-10-04,31
2020-10-11,100
2020-10-18,84
2020-10-25,67
2020-11-01,28
2020-11-08,48
2020-11-15,0
2020-11-22,50
2020-11-29,48
2020-12-06,48
2020-12-13,65
2020-12-20,0
2020-12-27,17
2021-01-03,31
2021-01-10,80
2021-01-17,16
2021-01-24,63
2021-01-31,16
2021-02-07,48
2021-02-14,65
2021-02-21,49
2021-02-28,49
2021-03-07,65
2021-03-14,15
2021-03-21,49
2021-03-28,17
2021-04-04,32
2021-04-11,0
2021-04-18,49
2021-04-25,50
2021-05-02,49
2021-05-09,33
2021-05-16,50
2021-05-23,33
2021-05-30,17
2021-06-06,17
2021-06-13,0
