类别：所有类别

周,Gun Stocks: (美国)
2020-06-21,71
2020-06-28,62
2020-07-05,58
2020-07-12,59
2020-07-19,43
2020-07-26,37
2020-08-02,65
2020-08-09,54
2020-08-16,50
2020-08-23,70
2020-08-30,37
2020-09-06,35
2020-09-13,68
2020-09-20,38
2020-09-27,59
2020-10-04,35
2020-10-11,47
2020-10-18,29
2020-10-25,57
2020-11-01,61
2020-11-08,91
2020-11-15,62
2020-11-22,89
2020-11-29,64
2020-12-06,55
2020-12-13,47
2020-12-20,50
2020-12-27,70
2021-01-03,86
2021-01-10,91
2021-01-17,100
2021-01-24,60
2021-01-31,51
2021-02-07,76
2021-02-14,43
2021-02-21,62
2021-02-28,53
2021-03-07,31
2021-03-14,34
2021-03-21,71
2021-03-28,25
2021-04-04,55
2021-04-11,49
2021-04-18,46
2021-04-25,38
2021-05-02,37
2021-05-09,22
2021-05-16,35
2021-05-23,16
2021-05-30,42
2021-06-06,16
2021-06-13,44
