类别：所有类别

周,Key Shells: (美国)
2020-06-21,0
2020-06-28,30
2020-07-05,15
2020-07-12,15
2020-07-19,0
2020-07-26,15
2020-08-02,15
2020-08-09,30
2020-08-16,29
2020-08-23,43
2020-08-30,56
2020-09-06,43
2020-09-13,28
2020-09-20,14
2020-09-27,15
2020-10-04,31
2020-10-11,50
2020-10-18,34
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,32
2020-11-22,34
2020-11-29,0
2020-12-06,0
2020-12-13,33
2020-12-20,88
2020-12-27,17
2021-01-03,31
2021-01-10,16
2021-01-17,32
2021-01-24,32
2021-01-31,48
2021-02-07,48
2021-02-14,0
2021-02-21,16
2021-02-28,65
2021-03-07,0
2021-03-14,60
2021-03-21,16
2021-03-28,17
2021-04-04,49
2021-04-11,32
2021-04-18,0
2021-04-25,33
2021-05-02,33
2021-05-09,33
2021-05-16,0
2021-05-23,100
2021-05-30,68
2021-06-06,50
2021-06-13,38
