类别：所有类别

周,Kits: (美国)
2020-06-21,82
2020-06-28,85
2020-07-05,83
2020-07-12,83
2020-07-19,83
2020-07-26,78
2020-08-02,78
2020-08-09,79
2020-08-16,73
2020-08-23,72
2020-08-30,67
2020-09-06,73
2020-09-13,69
2020-09-20,67
2020-09-27,68
2020-10-04,69
2020-10-11,70
2020-10-18,71
2020-10-25,70
2020-11-01,58
2020-11-08,78
2020-11-15,86
2020-11-22,89
2020-11-29,93
2020-12-06,100
2020-12-13,90
2020-12-20,78
2020-12-27,82
2021-01-03,79
2021-01-10,76
2021-01-17,75
2021-01-24,75
2021-01-31,80
2021-02-07,75
2021-02-14,71
2021-02-21,74
2021-02-28,74
2021-03-07,70
2021-03-14,75
2021-03-21,76
2021-03-28,79
2021-04-04,72
2021-04-11,74
2021-04-18,71
2021-04-25,67
2021-05-02,68
2021-05-09,64
2021-05-16,65
2021-05-23,65
2021-05-30,63
2021-06-06,63
2021-06-13,65
