类别：所有类别

周,Lighting: (美国)
2020-06-21,72
2020-06-28,75
2020-07-05,72
2020-07-12,74
2020-07-19,77
2020-07-26,74
2020-08-02,72
2020-08-09,78
2020-08-16,76
2020-08-23,72
2020-08-30,69
2020-09-06,72
2020-09-13,74
2020-09-20,75
2020-09-27,75
2020-10-04,73
2020-10-11,74
2020-10-18,75
2020-10-25,75
2020-11-01,60
2020-11-08,76
2020-11-15,82
2020-11-22,85
2020-11-29,100
2020-12-06,84
2020-12-13,71
2020-12-20,63
2020-12-27,72
2021-01-03,72
2021-01-10,72
2021-01-17,77
2021-01-24,73
2021-01-31,71
2021-02-07,69
2021-02-14,68
2021-02-21,72
2021-02-28,70
2021-03-07,73
2021-03-14,71
2021-03-21,71
2021-03-28,72
2021-04-04,71
2021-04-11,70
2021-04-18,74
2021-04-25,69
2021-05-02,69
2021-05-09,68
2021-05-16,71
2021-05-23,70
2021-05-30,68
2021-06-06,66
2021-06-13,68
