类别：所有类别

周,Locks: (美国)
2020-06-21,99
2020-06-28,95
2020-07-05,100
2020-07-12,93
2020-07-19,97
2020-07-26,97
2020-08-02,96
2020-08-09,98
2020-08-16,96
2020-08-23,88
2020-08-30,86
2020-09-06,94
2020-09-13,91
2020-09-20,90
2020-09-27,86
2020-10-04,91
2020-10-11,97
2020-10-18,85
2020-10-25,88
2020-11-01,70
2020-11-08,84
2020-11-15,84
2020-11-22,81
2020-11-29,84
2020-12-06,82
2020-12-13,84
2020-12-20,77
2020-12-27,88
2021-01-03,88
2021-01-10,85
2021-01-17,79
2021-01-24,85
2021-01-31,85
2021-02-07,84
2021-02-14,92
2021-02-21,86
2021-02-28,96
2021-03-07,88
2021-03-14,86
2021-03-21,96
2021-03-28,92
2021-04-04,91
2021-04-11,88
2021-04-18,92
2021-04-25,96
2021-05-02,90
2021-05-09,90
2021-05-16,97
2021-05-23,95
2021-05-30,96
2021-06-06,96
2021-06-13,89
