类别：所有类别

周,Magazines: (美国)
2020-06-21,80
2020-06-28,81
2020-07-05,85
2020-07-12,83
2020-07-19,81
2020-07-26,77
2020-08-02,78
2020-08-09,100
2020-08-16,84
2020-08-23,85
2020-08-30,76
2020-09-06,68
2020-09-13,77
2020-09-20,79
2020-09-27,70
2020-10-04,74
2020-10-11,75
2020-10-18,93
2020-10-25,73
2020-11-01,63
2020-11-08,78
2020-11-15,82
2020-11-22,84
2020-11-29,83
2020-12-06,81
2020-12-13,75
2020-12-20,73
2020-12-27,78
2021-01-03,80
2021-01-10,85
2021-01-17,79
2021-01-24,73
2021-01-31,70
2021-02-07,73
2021-02-14,70
2021-02-21,69
2021-02-28,70
2021-03-07,68
2021-03-14,74
2021-03-21,77
2021-03-28,65
2021-04-04,68
2021-04-11,68
2021-04-18,62
2021-04-25,66
2021-05-02,58
2021-05-09,58
2021-05-16,51
2021-05-23,61
2021-05-30,61
2021-06-06,57
2021-06-13,68
