类别：所有类别

周,Mirror: (美国)
2020-06-21,87
2020-06-28,97
2020-07-05,89
2020-07-12,93
2020-07-19,90
2020-07-26,89
2020-08-02,93
2020-08-09,90
2020-08-16,86
2020-08-23,86
2020-08-30,86
2020-09-06,86
2020-09-13,87
2020-09-20,81
2020-09-27,80
2020-10-04,80
2020-10-11,83
2020-10-18,82
2020-10-25,79
2020-11-01,68
2020-11-08,83
2020-11-15,89
2020-11-22,99
2020-11-29,100
2020-12-06,93
2020-12-13,90
2020-12-20,92
2020-12-27,99
2021-01-03,91
2021-01-10,88
2021-01-17,90
2021-01-24,85
2021-01-31,84
2021-02-07,83
2021-02-14,83
2021-02-21,84
2021-02-28,85
2021-03-07,83
2021-03-14,81
2021-03-21,80
2021-03-28,80
2021-04-04,78
2021-04-11,82
2021-04-18,81
2021-04-25,78
2021-05-02,76
2021-05-09,75
2021-05-16,74
2021-05-23,73
2021-05-30,78
2021-06-06,74
2021-06-13,76
