类别：所有类别

周,Mirrors: (美国)
2020-06-21,79
2020-06-28,91
2020-07-05,83
2020-07-12,82
2020-07-19,88
2020-07-26,87
2020-08-02,79
2020-08-09,85
2020-08-16,100
2020-08-23,85
2020-08-30,85
2020-09-06,80
2020-09-13,76
2020-09-20,73
2020-09-27,71
2020-10-04,73
2020-10-11,73
2020-10-18,72
2020-10-25,75
2020-11-01,60
2020-11-08,82
2020-11-15,88
2020-11-22,81
2020-11-29,82
2020-12-06,77
2020-12-13,75
2020-12-20,62
2020-12-27,85
2021-01-03,74
2021-01-10,81
2021-01-17,88
2021-01-24,81
2021-01-31,76
2021-02-07,78
2021-02-14,72
2021-02-21,80
2021-02-28,77
2021-03-07,87
2021-03-14,77
2021-03-21,83
2021-03-28,83
2021-04-04,85
2021-04-11,77
2021-04-18,81
2021-04-25,82
2021-05-02,75
2021-05-09,80
2021-05-16,74
2021-05-23,74
2021-05-30,75
2021-06-06,70
2021-06-13,74
