类别：所有类别

周,Mounts: (美国)
2020-06-21,79
2020-06-28,82
2020-07-05,82
2020-07-12,75
2020-07-19,85
2020-07-26,81
2020-08-02,83
2020-08-09,75
2020-08-16,81
2020-08-23,74
2020-08-30,83
2020-09-06,75
2020-09-13,72
2020-09-20,76
2020-09-27,76
2020-10-04,72
2020-10-11,79
2020-10-18,75
2020-10-25,72
2020-11-01,66
2020-11-08,87
2020-11-15,81
2020-11-22,95
2020-11-29,100
2020-12-06,91
2020-12-13,82
2020-12-20,83
2020-12-27,80
2021-01-03,79
2021-01-10,82
2021-01-17,82
2021-01-24,75
2021-01-31,74
2021-02-07,69
2021-02-14,69
2021-02-21,67
2021-02-28,76
2021-03-07,79
2021-03-14,79
2021-03-21,80
2021-03-28,85
2021-04-04,87
2021-04-11,76
2021-04-18,81
2021-04-25,77
2021-05-02,62
2021-05-09,71
2021-05-16,73
2021-05-23,70
2021-05-30,72
2021-06-06,74
2021-06-13,68
