类别：所有类别

周,Oil Pressure: (美国)
2020-06-21,87
2020-06-28,94
2020-07-05,83
2020-07-12,79
2020-07-19,80
2020-07-26,79
2020-08-02,80
2020-08-09,81
2020-08-16,73
2020-08-23,76
2020-08-30,76
2020-09-06,78
2020-09-13,73
2020-09-20,76
2020-09-27,75
2020-10-04,80
2020-10-11,68
2020-10-18,82
2020-10-25,83
2020-11-01,63
2020-11-08,76
2020-11-15,74
2020-11-22,71
2020-11-29,77
2020-12-06,85
2020-12-13,83
2020-12-20,79
2020-12-27,71
2021-01-03,76
2021-01-10,84
2021-01-17,94
2021-01-24,80
2021-01-31,74
2021-02-07,80
2021-02-14,84
2021-02-21,100
2021-02-28,96
2021-03-07,84
2021-03-14,92
2021-03-21,92
2021-03-28,91
2021-04-04,87
2021-04-11,93
2021-04-18,84
2021-04-25,96
2021-05-02,94
2021-05-09,89
2021-05-16,87
2021-05-23,86
2021-05-30,81
2021-06-06,81
2021-06-13,77
