类别：所有类别

周,Oil Temperature: (美国)
2020-06-21,62
2020-06-28,95
2020-07-05,66
2020-07-12,50
2020-07-19,63
2020-07-26,65
2020-08-02,56
2020-08-09,50
2020-08-16,58
2020-08-23,55
2020-08-30,57
2020-09-06,68
2020-09-13,73
2020-09-20,66
2020-09-27,53
2020-10-04,80
2020-10-11,57
2020-10-18,72
2020-10-25,66
2020-11-01,54
2020-11-08,54
2020-11-15,64
2020-11-22,100
2020-11-29,62
2020-12-06,73
2020-12-13,73
2020-12-20,89
2020-12-27,86
2021-01-03,60
2021-01-10,60
2021-01-17,50
2021-01-24,80
2021-01-31,61
2021-02-07,77
2021-02-14,87
2021-02-21,50
2021-02-28,64
2021-03-07,58
2021-03-14,53
2021-03-21,79
2021-03-28,57
2021-04-04,64
2021-04-11,64
2021-04-18,64
2021-04-25,77
2021-05-02,63
2021-05-09,58
2021-05-16,54
2021-05-23,60
2021-05-30,47
2021-06-06,66
2021-06-13,91
