类别：所有类别

周,Paint: (美国)
2020-06-21,99
2020-06-28,99
2020-07-05,95
2020-07-12,95
2020-07-19,98
2020-07-26,100
2020-08-02,95
2020-08-09,96
2020-08-16,90
2020-08-23,88
2020-08-30,89
2020-09-06,87
2020-09-13,83
2020-09-20,87
2020-09-27,87
2020-10-04,87
2020-10-11,87
2020-10-18,88
2020-10-25,95
2020-11-01,67
2020-11-08,77
2020-11-15,75
2020-11-22,76
2020-11-29,73
2020-12-06,73
2020-12-13,70
2020-12-20,67
2020-12-27,78
2021-01-03,74
2021-01-10,75
2021-01-17,84
2021-01-24,78
2021-01-31,77
2021-02-07,77
2021-02-14,75
2021-02-21,82
2021-02-28,83
2021-03-07,88
2021-03-14,85
2021-03-21,90
2021-03-28,86
2021-04-04,85
2021-04-11,87
2021-04-18,84
2021-04-25,87
2021-05-02,84
2021-05-09,81
2021-05-16,82
2021-05-23,81
2021-05-30,84
2021-06-06,81
2021-06-13,81
