类别：所有类别

周,Pellets: (美国)
2020-06-21,70
2020-06-28,80
2020-07-05,67
2020-07-12,62
2020-07-19,71
2020-07-26,66
2020-08-02,60
2020-08-09,62
2020-08-16,68
2020-08-23,60
2020-08-30,68
2020-09-06,66
2020-09-13,69
2020-09-20,67
2020-09-27,72
2020-10-04,71
2020-10-11,73
2020-10-18,76
2020-10-25,72
2020-11-01,54
2020-11-08,67
2020-11-15,71
2020-11-22,100
2020-11-29,74
2020-12-06,78
2020-12-13,83
2020-12-20,89
2020-12-27,84
2021-01-03,73
2021-01-10,71
2021-01-17,73
2021-01-24,66
2021-01-31,78
2021-02-07,73
2021-02-14,90
2021-02-21,69
2021-02-28,66
2021-03-07,69
2021-03-14,63
2021-03-21,73
2021-03-28,76
2021-04-04,68
2021-04-11,72
2021-04-18,72
2021-04-25,73
2021-05-02,71
2021-05-09,75
2021-05-16,77
2021-05-23,77
2021-05-30,78
2021-06-06,71
2021-06-13,71
