类别：所有类别

周,Pinstriping Tape: (美国)
2020-06-21,0
2020-06-28,75
2020-07-05,49
2020-07-12,50
2020-07-19,50
2020-07-26,100
2020-08-02,50
2020-08-09,50
2020-08-16,49
2020-08-23,47
2020-08-30,69
2020-09-06,24
2020-09-13,0
2020-09-20,24
2020-09-27,25
2020-10-04,0
2020-10-11,83
2020-10-18,56
2020-10-25,28
2020-11-01,0
2020-11-08,0
2020-11-15,54
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,55
2020-12-20,59
2020-12-27,56
2021-01-03,78
2021-01-10,53
2021-01-17,27
2021-01-24,79
2021-01-31,26
2021-02-07,53
2021-02-14,27
2021-02-21,27
2021-02-28,27
2021-03-07,0
2021-03-14,0
2021-03-21,54
2021-03-28,0
2021-04-04,27
2021-04-11,27
2021-04-18,0
2021-04-25,28
2021-05-02,27
2021-05-09,28
2021-05-16,0
2021-05-23,55
2021-05-30,56
2021-06-06,0
2021-06-13,0
