类别：所有类别

周,Plates: (美国)
2020-06-21,92
2020-06-28,100
2020-07-05,94
2020-07-12,95
2020-07-19,95
2020-07-26,93
2020-08-02,93
2020-08-09,90
2020-08-16,87
2020-08-23,91
2020-08-30,89
2020-09-06,91
2020-09-13,91
2020-09-20,97
2020-09-27,92
2020-10-04,94
2020-10-11,91
2020-10-18,88
2020-10-25,90
2020-11-01,71
2020-11-08,93
2020-11-15,93
2020-11-22,93
2020-11-29,97
2020-12-06,96
2020-12-13,89
2020-12-20,73
2020-12-27,82
2021-01-03,87
2021-01-10,89
2021-01-17,88
2021-01-24,90
2021-01-31,89
2021-02-07,84
2021-02-14,81
2021-02-21,94
2021-02-28,98
2021-03-07,91
2021-03-14,89
2021-03-21,93
2021-03-28,94
2021-04-04,91
2021-04-11,95
2021-04-18,85
2021-04-25,94
2021-05-02,91
2021-05-09,86
2021-05-16,90
2021-05-23,88
2021-05-30,82
2021-06-06,82
2021-06-13,83
