类别：所有类别

周,Quarter Panels: (美国)
2020-06-21,8
2020-06-28,65
2020-07-05,24
2020-07-12,24
2020-07-19,66
2020-07-26,57
2020-08-02,65
2020-08-09,49
2020-08-16,48
2020-08-23,93
2020-08-30,61
2020-09-06,23
2020-09-13,60
2020-09-20,47
2020-09-27,73
2020-10-04,42
2020-10-11,82
2020-10-18,64
2020-10-25,27
2020-11-01,31
2020-11-08,35
2020-11-15,62
2020-11-22,27
2020-11-29,35
2020-12-06,26
2020-12-13,45
2020-12-20,29
2020-12-27,46
2021-01-03,0
2021-01-10,70
2021-01-17,26
2021-01-24,43
2021-01-31,26
2021-02-07,70
2021-02-14,36
2021-02-21,71
2021-02-28,36
2021-03-07,36
2021-03-14,41
2021-03-21,80
2021-03-28,73
2021-04-04,27
2021-04-11,62
2021-04-18,27
2021-04-25,63
2021-05-02,62
2021-05-09,45
2021-05-16,54
2021-05-23,100
2021-05-30,55
2021-06-06,46
2021-06-13,63
