类别：所有类别

周,Ramps: (美国)
2020-06-21,80
2020-06-28,92
2020-07-05,80
2020-07-12,72
2020-07-19,74
2020-07-26,69
2020-08-02,63
2020-08-09,70
2020-08-16,63
2020-08-23,61
2020-08-30,66
2020-09-06,53
2020-09-13,51
2020-09-20,59
2020-09-27,56
2020-10-04,53
2020-10-11,59
2020-10-18,56
2020-10-25,45
2020-11-01,43
2020-11-08,50
2020-11-15,48
2020-11-22,54
2020-11-29,51
2020-12-06,54
2020-12-13,48
2020-12-20,47
2020-12-27,54
2021-01-03,47
2021-01-10,46
2021-01-17,48
2021-01-24,48
2021-01-31,58
2021-02-07,48
2021-02-14,53
2021-02-21,64
2021-02-28,65
2021-03-07,63
2021-03-14,68
2021-03-21,85
2021-03-28,76
2021-04-04,91
2021-04-11,84
2021-04-18,92
2021-04-25,96
2021-05-02,100
2021-05-09,91
2021-05-16,79
2021-05-23,70
2021-05-30,80
2021-06-06,76
2021-06-13,75
