类别：所有类别

周,Receivers: (美国)
2020-06-21,25
2020-06-28,32
2020-07-05,29
2020-07-12,32
2020-07-19,25
2020-07-26,29
2020-08-02,25
2020-08-09,25
2020-08-16,34
2020-08-23,38
2020-08-30,64
2020-09-06,100
2020-09-13,73
2020-09-20,60
2020-09-27,62
2020-10-04,56
2020-10-11,55
2020-10-18,59
2020-10-25,60
2020-11-01,47
2020-11-08,48
2020-11-15,51
2020-11-22,62
2020-11-29,53
2020-12-06,55
2020-12-13,47
2020-12-20,62
2020-12-27,75
2021-01-03,62
2021-01-10,63
2021-01-17,48
2021-01-24,45
2021-01-31,40
2021-02-07,48
2021-02-14,35
2021-02-21,28
2021-02-28,28
2021-03-07,35
2021-03-14,40
2021-03-21,29
2021-03-28,28
2021-04-04,27
2021-04-11,32
2021-04-18,26
2021-04-25,79
2021-05-02,34
2021-05-09,25
2021-05-16,25
2021-05-23,29
2021-05-30,26
2021-06-06,33
2021-06-13,22
