类别：所有类别

周,Reservoirs: (美国)
2020-06-21,64
2020-06-28,50
2020-07-05,52
2020-07-12,62
2020-07-19,55
2020-07-26,53
2020-08-02,55
2020-08-09,36
2020-08-16,56
2020-08-23,45
2020-08-30,71
2020-09-06,61
2020-09-13,95
2020-09-20,100
2020-09-27,55
2020-10-04,74
2020-10-11,56
2020-10-18,70
2020-10-25,59
2020-11-01,49
2020-11-08,48
2020-11-15,70
2020-11-22,48
2020-11-29,49
2020-12-06,51
2020-12-13,42
2020-12-20,17
2020-12-27,27
2021-01-03,35
2021-01-10,31
2021-01-17,25
2021-01-24,33
2021-01-31,56
2021-02-07,46
2021-02-14,52
2021-02-21,76
2021-02-28,52
2021-03-07,49
2021-03-14,50
2021-03-21,31
2021-03-28,56
2021-04-04,52
2021-04-11,75
2021-04-18,47
2021-04-25,53
2021-05-02,60
2021-05-09,80
2021-05-16,53
2021-05-23,40
2021-05-30,62
2021-06-06,59
2021-06-13,55
