类别：所有类别

周,Safety: (美国)
2020-06-21,83
2020-06-28,83
2020-07-05,85
2020-07-12,82
2020-07-19,83
2020-07-26,83
2020-08-02,87
2020-08-09,85
2020-08-16,93
2020-08-23,100
2020-08-30,93
2020-09-06,89
2020-09-13,93
2020-09-20,90
2020-09-27,84
2020-10-04,86
2020-10-11,82
2020-10-18,82
2020-10-25,81
2020-11-01,67
2020-11-08,79
2020-11-15,83
2020-11-22,66
2020-11-29,80
2020-12-06,89
2020-12-13,95
2020-12-20,67
2020-12-27,70
2021-01-03,77
2021-01-10,80
2021-01-17,78
2021-01-24,82
2021-01-31,78
2021-02-07,78
2021-02-14,75
2021-02-21,80
2021-02-28,84
2021-03-07,82
2021-03-14,79
2021-03-21,83
2021-03-28,77
2021-04-04,79
2021-04-11,84
2021-04-18,85
2021-04-25,86
2021-05-02,79
2021-05-09,81
2021-05-16,80
2021-05-23,84
2021-05-30,74
2021-06-06,81
2021-06-13,77
