类别：所有类别

周,Seats: (美国)
2020-06-21,74
2020-06-28,68
2020-07-05,66
2020-07-12,66
2020-07-19,68
2020-07-26,64
2020-08-02,69
2020-08-09,63
2020-08-16,61
2020-08-23,63
2020-08-30,59
2020-09-06,61
2020-09-13,63
2020-09-20,67
2020-09-27,58
2020-10-04,59
2020-10-11,64
2020-10-18,61
2020-10-25,61
2020-11-01,100
2020-11-08,83
2020-11-15,63
2020-11-22,64
2020-11-29,59
2020-12-06,55
2020-12-13,53
2020-12-20,56
2020-12-27,58
2021-01-03,82
2021-01-10,60
2021-01-17,58
2021-01-24,58
2021-01-31,54
2021-02-07,57
2021-02-14,56
2021-02-21,64
2021-02-28,70
2021-03-07,69
2021-03-14,67
2021-03-21,70
2021-03-28,72
2021-04-04,78
2021-04-11,82
2021-04-18,71
2021-04-25,84
2021-05-02,76
2021-05-09,73
2021-05-16,82
2021-05-23,80
2021-05-30,84
2021-06-06,79
2021-06-13,83
