类别：所有类别

周,Side: (美国)
2020-06-21,76
2020-06-28,75
2020-07-05,74
2020-07-12,74
2020-07-19,75
2020-07-26,73
2020-08-02,73
2020-08-09,72
2020-08-16,69
2020-08-23,69
2020-08-30,72
2020-09-06,74
2020-09-13,70
2020-09-20,75
2020-09-27,74
2020-10-04,79
2020-10-11,75
2020-10-18,76
2020-10-25,75
2020-11-01,60
2020-11-08,75
2020-11-15,78
2020-11-22,77
2020-11-29,76
2020-12-06,78
2020-12-13,83
2020-12-20,76
2020-12-27,77
2021-01-03,79
2021-01-10,81
2021-01-17,83
2021-01-24,82
2021-01-31,87
2021-02-07,83
2021-02-14,83
2021-02-21,87
2021-02-28,87
2021-03-07,88
2021-03-14,88
2021-03-21,93
2021-03-28,94
2021-04-04,96
2021-04-11,100
2021-04-18,93
2021-04-25,95
2021-05-02,89
2021-05-09,89
2021-05-16,84
2021-05-23,84
2021-05-30,82
2021-06-06,81
2021-06-13,79
