类别：所有类别

周,Solvents: (美国)
2020-06-21,63
2020-06-28,31
2020-07-05,43
2020-07-12,61
2020-07-19,62
2020-07-26,44
2020-08-02,52
2020-08-09,46
2020-08-16,28
2020-08-23,71
2020-08-30,84
2020-09-06,54
2020-09-13,85
2020-09-20,100
2020-09-27,81
2020-10-04,86
2020-10-11,90
2020-10-18,69
2020-10-25,83
2020-11-01,55
2020-11-08,61
2020-11-15,76
2020-11-22,47
2020-11-29,40
2020-12-06,80
2020-12-13,55
2020-12-20,15
2020-12-27,22
2021-01-03,27
2021-01-10,49
2021-01-17,33
2021-01-24,40
2021-01-31,49
2021-02-07,47
2021-02-14,48
2021-02-21,67
2021-02-28,69
2021-03-07,57
2021-03-14,48
2021-03-21,60
2021-03-28,49
2021-04-04,69
2021-04-11,74
2021-04-18,91
2021-04-25,53
2021-05-02,76
2021-05-09,54
2021-05-16,51
2021-05-23,41
2021-05-30,35
2021-06-06,32
2021-06-13,45
