类别：所有类别

周,Specialty: (美国)
2020-06-21,92
2020-06-28,88
2020-07-05,85
2020-07-12,89
2020-07-19,87
2020-07-26,86
2020-08-02,91
2020-08-09,92
2020-08-16,97
2020-08-23,89
2020-08-30,93
2020-09-06,82
2020-09-13,87
2020-09-20,91
2020-09-27,86
2020-10-04,87
2020-10-11,88
2020-10-18,90
2020-10-25,87
2020-11-01,72
2020-11-08,86
2020-11-15,84
2020-11-22,73
2020-11-29,93
2020-12-06,90
2020-12-13,97
2020-12-20,73
2020-12-27,76
2021-01-03,86
2021-01-10,93
2021-01-17,94
2021-01-24,96
2021-01-31,93
2021-02-07,85
2021-02-14,83
2021-02-21,99
2021-02-28,100
2021-03-07,96
2021-03-14,88
2021-03-21,91
2021-03-28,80
2021-04-04,89
2021-04-11,97
2021-04-18,87
2021-04-25,97
2021-05-02,95
2021-05-09,84
2021-05-16,88
2021-05-23,89
2021-05-30,91
2021-06-06,93
2021-06-13,91
