类别：所有类别

周,Springs: (美国)
2020-06-21,89
2020-06-28,96
2020-07-05,92
2020-07-12,98
2020-07-19,94
2020-07-26,92
2020-08-02,90
2020-08-09,89
2020-08-16,84
2020-08-23,80
2020-08-30,81
2020-09-06,82
2020-09-13,77
2020-09-20,76
2020-09-27,74
2020-10-04,76
2020-10-11,78
2020-10-18,80
2020-10-25,75
2020-11-01,60
2020-11-08,72
2020-11-15,71
2020-11-22,68
2020-11-29,70
2020-12-06,67
2020-12-13,69
2020-12-20,71
2020-12-27,82
2021-01-03,73
2021-01-10,74
2021-01-17,76
2021-01-24,76
2021-01-31,76
2021-02-07,78
2021-02-14,81
2021-02-21,84
2021-02-28,90
2021-03-07,91
2021-03-14,95
2021-03-21,95
2021-03-28,93
2021-04-04,89
2021-04-11,90
2021-04-18,88
2021-04-25,89
2021-05-02,90
2021-05-09,92
2021-05-16,93
2021-05-23,96
2021-05-30,100
2021-06-06,100
2021-06-13,97
