类别：所有类别

周,Standard: (美国)
2020-06-21,69
2020-06-28,70
2020-07-05,71
2020-07-12,75
2020-07-19,75
2020-07-26,72
2020-08-02,70
2020-08-09,69
2020-08-16,74
2020-08-23,80
2020-08-30,85
2020-09-06,84
2020-09-13,95
2020-09-20,100
2020-09-27,89
2020-10-04,88
2020-10-11,88
2020-10-18,84
2020-10-25,82
2020-11-01,66
2020-11-08,77
2020-11-15,81
2020-11-22,67
2020-11-29,81
2020-12-06,82
2020-12-13,76
2020-12-20,52
2020-12-27,57
2021-01-03,67
2021-01-10,73
2021-01-17,74
2021-01-24,78
2021-01-31,81
2021-02-07,82
2021-02-14,78
2021-02-21,86
2021-02-28,85
2021-03-07,82
2021-03-14,81
2021-03-21,79
2021-03-28,79
2021-04-04,74
2021-04-11,79
2021-04-18,80
2021-04-25,82
2021-05-02,79
2021-05-09,74
2021-05-16,69
2021-05-23,67
2021-05-30,63
2021-06-06,65
2021-06-13,63
