类别：所有类别

周,Stands: (美国)
2020-06-21,84
2020-06-28,100
2020-07-05,85
2020-07-12,77
2020-07-19,83
2020-07-26,81
2020-08-02,83
2020-08-09,83
2020-08-16,81
2020-08-23,80
2020-08-30,81
2020-09-06,91
2020-09-13,85
2020-09-20,89
2020-09-27,86
2020-10-04,81
2020-10-11,82
2020-10-18,79
2020-10-25,78
2020-11-01,70
2020-11-08,82
2020-11-15,77
2020-11-22,80
2020-11-29,86
2020-12-06,78
2020-12-13,73
2020-12-20,61
2020-12-27,67
2021-01-03,71
2021-01-10,79
2021-01-17,74
2021-01-24,75
2021-01-31,69
2021-02-07,71
2021-02-14,67
2021-02-21,77
2021-02-28,75
2021-03-07,74
2021-03-14,75
2021-03-21,75
2021-03-28,70
2021-04-04,71
2021-04-11,74
2021-04-18,71
2021-04-25,72
2021-05-02,75
2021-05-09,71
2021-05-16,76
2021-05-23,79
2021-05-30,70
2021-06-06,72
2021-06-13,72
