类别：所有类别

周,Switches: (美国)
2020-06-21,81
2020-06-28,87
2020-07-05,79
2020-07-12,85
2020-07-19,85
2020-07-26,83
2020-08-02,73
2020-08-09,90
2020-08-16,91
2020-08-23,81
2020-08-30,82
2020-09-06,83
2020-09-13,79
2020-09-20,90
2020-09-27,82
2020-10-04,89
2020-10-11,86
2020-10-18,84
2020-10-25,85
2020-11-01,69
2020-11-08,82
2020-11-15,87
2020-11-22,92
2020-11-29,94
2020-12-06,88
2020-12-13,88
2020-12-20,95
2020-12-27,95
2021-01-03,87
2021-01-10,83
2021-01-17,95
2021-01-24,92
2021-01-31,85
2021-02-07,100
2021-02-14,89
2021-02-21,89
2021-02-28,96
2021-03-07,87
2021-03-14,92
2021-03-21,84
2021-03-28,94
2021-04-04,91
2021-04-11,91
2021-04-18,87
2021-04-25,92
2021-05-02,81
2021-05-09,90
2021-05-16,82
2021-05-23,87
2021-05-30,80
2021-06-06,82
2021-06-13,79
