类别：所有类别

周,Tie-Downs: (美国)
2020-06-21,21
2020-06-28,0
2020-07-05,65
2020-07-12,0
2020-07-19,0
2020-07-26,22
2020-08-02,0
2020-08-09,22
2020-08-16,0
2020-08-23,42
2020-08-30,62
2020-09-06,0
2020-09-13,61
2020-09-20,21
2020-09-27,44
2020-10-04,23
2020-10-11,25
2020-10-18,25
2020-10-25,25
2020-11-01,41
2020-11-08,24
2020-11-15,0
2020-11-22,0
2020-11-29,24
2020-12-06,0
2020-12-13,24
2020-12-20,78
2020-12-27,25
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,47
2021-02-07,47
2021-02-14,72
2021-02-21,24
2021-02-28,0
2021-03-07,24
2021-03-14,22
2021-03-21,0
2021-03-28,25
2021-04-04,0
2021-04-11,24
2021-04-18,24
2021-04-25,49
2021-05-02,0
2021-05-09,49
2021-05-16,49
2021-05-23,25
2021-05-30,100
2021-06-06,0
2021-06-13,57
