类别：所有类别

周,Tire Steps: (美国)
2020-06-21,30
2020-06-28,63
2020-07-05,31
2020-07-12,47
2020-07-19,31
2020-07-26,31
2020-08-02,16
2020-08-09,63
2020-08-16,61
2020-08-23,89
2020-08-30,44
2020-09-06,30
2020-09-13,0
2020-09-20,45
2020-09-27,31
2020-10-04,49
2020-10-11,87
2020-10-18,18
2020-10-25,35
2020-11-01,15
2020-11-08,83
2020-11-15,51
2020-11-22,18
2020-11-29,17
2020-12-06,34
2020-12-13,52
2020-12-20,37
2020-12-27,35
2021-01-03,0
2021-01-10,67
2021-01-17,50
2021-01-24,100
2021-01-31,33
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,68
2021-03-07,51
2021-03-14,63
2021-03-21,17
2021-03-28,17
2021-04-04,34
2021-04-11,17
2021-04-18,17
2021-04-25,17
2021-05-02,68
2021-05-09,35
2021-05-16,17
2021-05-23,0
2021-05-30,53
2021-06-06,35
2021-06-13,0
