类别：所有类别

周,Traction Tape: (美国)
2020-06-21,29
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,30
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,29
2020-08-23,86
2020-08-30,0
2020-09-06,57
2020-09-13,0
2020-09-20,29
2020-09-27,0
2020-10-04,0
2020-10-11,34
2020-10-18,67
2020-10-25,34
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,34
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,71
2020-12-27,67
2021-01-03,0
2021-01-10,64
2021-01-17,32
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,33
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,61
2021-03-21,0
2021-03-28,34
2021-04-04,33
2021-04-11,0
2021-04-18,33
2021-04-25,67
2021-05-02,0
2021-05-09,34
2021-05-16,100
2021-05-23,67
2021-05-30,34
2021-06-06,34
2021-06-13,77
