类别：所有类别

周,Transmission Temperature: (美国)
2020-06-21,58
2020-06-28,66
2020-07-05,85
2020-07-12,100
2020-07-19,42
2020-07-26,72
2020-08-02,55
2020-08-09,45
2020-08-16,46
2020-08-23,53
2020-08-30,34
2020-09-06,55
2020-09-13,51
2020-09-20,35
2020-09-27,37
2020-10-04,49
2020-10-11,68
2020-10-18,53
2020-10-25,26
2020-11-01,44
2020-11-08,48
2020-11-15,40
2020-11-22,24
2020-11-29,48
2020-12-06,45
2020-12-13,23
2020-12-20,53
2020-12-27,44
2021-01-03,22
2021-01-10,39
2021-01-17,59
2021-01-24,45
2021-01-31,39
2021-02-07,45
2021-02-14,43
2021-02-21,58
2021-02-28,46
2021-03-07,69
2021-03-14,29
2021-03-21,60
2021-03-28,47
2021-04-04,57
2021-04-11,37
2021-04-18,49
2021-04-25,55
2021-05-02,63
2021-05-09,44
2021-05-16,55
2021-05-23,44
2021-05-30,33
2021-06-06,77
2021-06-13,68
